2.500000000000000000e-01 5.550336227691947677e+00 2.269554573182213542e+00
7.500000000000000000e-01 5.550336227691947677e+00 2.533058745056697258e+00
1.250000000000000000e+00 5.550336227691947677e+00 2.793012349901936364e+00
1.750000000000000222e+00 5.550336227691947677e+00 3.017558131194889803e+00
2.250000000000000000e+00 5.550336227691947677e+00 3.213176785549205938e+00
2.750000000000000000e+00 5.550336227691947677e+00 3.386507324627519466e+00
3.250000000000000000e+00 5.550336227691947677e+00 3.542084903462070944e+00
3.749999999999999556e+00 5.550336227691947677e+00 3.682940813906637523e+00
4.250000000000000000e+00 5.550336227691947677e+00 3.811176168925703323e+00
4.750000000000000000e+00 5.550336227691947677e+00 3.928326342242990155e+00
5.250000000000000000e+00 5.550336227691947677e+00 4.035578080988901917e+00
5.750000000000000000e+00 5.550336227691947677e+00 4.133897154505951299e+00
