2.500000000000000000e-01 5.550336227691929025e+00 6.697068146829269208e-01
7.500000000000000000e-01 5.550336227691931690e+00 1.550929861274126464e+00
1.250000000000000000e+00 5.550336227691933466e+00 2.065725064144140255e+00
1.750000000000000222e+00 5.550336227691935242e+00 2.461005684934435500e+00
2.250000000000000000e+00 5.550336227691931690e+00 2.776052671347457146e+00
2.750000000000000000e+00 5.550336227691932578e+00 3.039985689827981563e+00
3.250000000000000000e+00 5.550336227691932578e+00 3.265614779292952630e+00
3.749999999999999556e+00 5.550336227691932578e+00 3.463192490258869771e+00
4.250000000000000000e+00 5.550336227691932578e+00 3.633824712417294656e+00
4.750000000000000000e+00 5.550336227691932578e+00 3.784715857844023645e+00
5.250000000000000000e+00 5.550336227691932578e+00 3.918907815108114701e+00
5.750000000000000000e+00 5.550336227691932578e+00 4.038801899792774819e+00
