2.500000000000000000e-01 4.924218896065621465e+00 2.003746745167485965e+00 8.344188253900783536e+01
7.500000000000000000e-01 4.924218896065617912e+00 2.275737313615640467e+00 7.864155847645129427e+01
1.250000000000000000e+00 4.924218896065618800e+00 2.527569949197464805e+00 7.365297000360760649e+01
1.750000000000000222e+00 4.924218896065617912e+00 2.740241653216627160e+00 6.903272246201233031e+01
2.250000000000000000e+00 4.924218896065618800e+00 2.923685723821120686e+00 6.474776362532274732e+01
2.750000000000000000e+00 4.924218896065617912e+00 3.085205574764153802e+00 6.074513264865829854e+01
3.250000000000000000e+00 4.924218896065618800e+00 3.229356390366890039e+00 5.699120729393468565e+01
3.749999999999999556e+00 4.924218896065618800e+00 3.359068813721147961e+00 5.346678051559337774e+01
4.250000000000000000e+00 4.924218896065618800e+00 3.476356802063548024e+00 5.016046421341986417e+01
4.750000000000000000e+00 4.924218896065617912e+00 3.582709430922525140e+00 4.706432282152685076e+01
5.250000000000000000e+00 4.924218896065618800e+00 3.679304307529434936e+00 4.417140259802050650e+01
5.750000000000000000e+00 4.924218896065618800e+00 3.767123923687398346e+00 4.147450260620622231e+01
