2.500000000000000000e-01 5.568742642777067431e+00 7.950846802328328522e-01 9.796149173876783323e+01
7.500000000000000000e-01 5.568742642777065655e+00 1.570635878930105589e+00 9.204506321312790362e+01
1.250000000000000000e+00 5.568742642777067431e+00 2.073291999564238708e+00 8.613861429047861407e+01
1.750000000000000222e+00 5.568742642777068319e+00 2.465100481199808957e+00 8.040456279451642274e+01
2.250000000000000000e+00 5.568742642777067431e+00 2.779100936987953130e+00 7.509455269756485052e+01
2.750000000000000000e+00 5.568742642777067431e+00 3.042891335971452005e+00 7.014214586342326641e+01
3.250000000000000000e+00 5.568742642777067431e+00 3.268825690390825933e+00 6.554365320774537906e+01
3.749999999999999556e+00 5.568742642777067431e+00 3.466973149355290662e+00 6.123974182278701761e+01
4.250000000000000000e+00 5.568742642777067431e+00 3.638343432061109883e+00 5.731325041989752833e+01
4.750000000000000000e+00 5.568742642777067431e+00 3.790087482270194208e+00 5.367833369982946579e+01
5.250000000000000000e+00 5.568742642777067431e+00 3.925212125948955411e+00 5.031652449322483989e+01
5.750000000000000000e+00 5.568742642777067431e+00 4.046092441922610305e+00 4.720931386080722802e+01
